City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Souillac,MU,27.019999999999982,light intensity shower rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
3,Cape Town,ZA,25.639999999999986,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
4,Saint-Pierre,RE,27.970000000000027,clear sky,-21.3393,55.4781,Lindsey Hôtel
9,Faanui,PF,27.389999999999986,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
11,Vila Velha,BR,29.120000000000005,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
12,Balao,EC,28.100000000000023,light rain,-2.9167,-79.8167,Gilson Stalin Lucas S
13,Lorengau,PG,27.20999999999998,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
15,Arraial Do Cabo,BR,31.129999999999995,thunderstorm,-22.9661,-42.0278,Pousada Porto Praia
22,Butaritari,KI,28.060000000000002,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
23,Port Hedland,AU,29.180000000000007,scattered clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
31,Hithadhoo,MV,28.24000000000001,overcast clouds,-0.6,73.0833,Scoop Guest House
32,Mahebourg,MU,26.95999999999998,light intensity shower rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
34,Buala,SB,27.269999999999982,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
36,Carnarvon,AU,27.189999999999998,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
37,Kieta,PG,26.95999999999998,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
42,Avarua,CK,27.180000000000007,few clouds,-21.2078,-159.775,Paradise Inn
43,Atuona,PF,26.139999999999986,few clouds,-9.8,-139.0333,Villa Enata
46,Manaus,BR,29.430000000000007,scattered clouds,-3.1019,-60.025,Manaus Hotéis Millennium
52,Isangel,VU,26.649999999999977,overcast clouds,-19.55,169.2667,Tanna Lodge
58,Rikitea,PF,26.060000000000002,scattered clouds,-23.1203,-134.9692,People ThankYou
59,Hambantota,LK,25.339999999999975,clear sky,6.1241,81.1185,Bungalow 63
62,Touros,BR,31.649999999999977,few clouds,-5.1989,-35.4608,INN NEW HORIZON
67,Key West,US,29.149999999999977,clear sky,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
68,Cap Malheureux,MU,27.079999999999984,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
72,Saint-Georges,GD,28.970000000000027,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
82,Chuy,UY,26.80000000000001,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
83,Puerto Ayora,EC,29.129999999999995,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
85,Alugan,PH,26.930000000000007,overcast clouds,12.2188,125.4808,JM Lodge
90,Lokoja,NG,31.180000000000007,clear sky,7.8024,6.743,Hotel Charvid
100,Sao Joao Da Barra,BR,30.19999999999999,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
101,Merauke,ID,27.04000000000002,overcast clouds,-8.4667,140.3333,
105,Boundiali,CI,31.410000000000025,scattered clouds,9.5217,-6.4869,Hotel Paysan Boundiali
107,Kulhudhuffushi,MV,27.100000000000023,scattered clouds,6.6221,73.07,Haajy Guest House 1
113,Ambon,ID,25.230000000000018,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
118,Ocumare Del Tuy,VE,29.930000000000007,clear sky,10.1165,-66.7761,HOSTAL EDDYS
131,Saldanha,ZA,28.180000000000007,few clouds,-33.0117,17.9442,Blue Bay Lodge
132,Ipueiras,BR,31.889999999999986,broken clouds,-7.0333,-40.45,
137,Gamba,GA,25.19999999999999,clear sky,-2.65,10.0,
138,Sola,VU,28.30000000000001,overcast clouds,-13.8833,167.55,Leumerus Bungalows
143,Bambous Virieux,MU,26.939999999999998,light intensity shower rain,-20.3428,57.7575,Casa Tia Villa
157,Sabang,ID,27.5,light rain,5.8933,95.3214,Hotel Citra
166,Cabedelo,BR,30.519999999999982,clear sky,-6.9811,-34.8339,Hotel Pigalle
168,Conde,BR,29.850000000000023,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
170,Saint-Philippe,RE,27.920000000000016,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
175,Kourou,GF,29.180000000000007,scattered clouds,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
176,Sassandra,CI,27.110000000000014,few clouds,4.95,-6.0833,la terrasse
179,Uarini,BR,29.120000000000005,light rain,-2.99,-65.1083,
183,Mabaruma,GY,27.79000000000002,broken clouds,8.2,-59.7833,Monty Brooms Guest House
184,Cumana,VE,29.19999999999999,few clouds,10.4635,-64.1775,Posada Acuarela Los Roques
