City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Souillac,MU,-20.5167,57.5167,300.02,89,75,9.26,light intensity shower rain
1,Flinders,AU,-34.5833,150.8552,293.36,80,99,3.13,light rain
2,Provideniya,RU,64.3833,-173.3,252.07,86,2,4.81,clear sky
3,Cape Town,ZA,-33.9258,18.4232,298.64,65,0,6.69,clear sky
4,Saint-Pierre,RE,-21.3393,55.4781,300.97,69,0,4.12,clear sky
5,Ushuaia,AR,-54.8,-68.3,290.96,45,40,6.69,scattered clouds
6,Mataura,NZ,-46.1927,168.8643,282.86,90,27,0.73,scattered clouds
7,Narsaq,GL,60.9167,-46.05,259.27,73,0,2.54,clear sky
8,Busselton,AU,-33.65,115.3333,292.06,76,0,2.87,clear sky
9,Faanui,PF,-16.4833,-151.75,300.39,71,10,8.25,clear sky
10,Grindavik,IS,63.8424,-22.4338,270.12,80,40,3.09,scattered clouds
11,Vila Velha,BR,-20.3297,-40.2925,302.12,79,40,4.47,scattered clouds
12,Balao,EC,-2.9167,-79.8167,301.1,73,73,1.52,light rain
13,Lorengau,PG,-2.0226,147.2712,300.21,77,36,3.88,scattered clouds
14,Maningrida,AU,-12.0667,134.2667,297.58,84,97,2.32,overcast clouds
15,Arraial Do Cabo,BR,-22.9661,-42.0278,304.13,70,0,9.26,thunderstorm
16,Bembibre,ES,42.6177,-6.4155,282.18,68,8,1.34,clear sky
17,Tuktoyaktuk,CA,69.4541,-133.0374,237.15,68,20,5.14,few clouds
18,Sitka,US,57.0531,-135.33,279.09,81,100,6.17,moderate rain
19,San Francisco,US,37.7749,-122.4194,288.23,69,75,0.89,broken clouds
20,Punta Arenas,CL,-53.15,-70.9167,292.21,52,75,13.89,broken clouds
21,Avera,US,33.194,-82.5271,283.53,47,21,3.32,few clouds
22,Butaritari,KI,3.0707,172.7902,301.06,70,25,8.69,scattered clouds
23,Port Hedland,AU,-20.3167,118.5667,302.18,79,40,1.54,scattered clouds
24,Castro,BR,-24.7911,-50.0119,297.51,78,95,3.73,overcast clouds
25,Westport,US,41.1415,-73.3579,271.92,65,20,2.24,few clouds
26,Hirara,JP,24.8,125.2833,290.1,67,100,8.89,overcast clouds
27,Albany,US,42.6001,-73.9662,267.13,62,25,1.79,scattered clouds
28,Mar Del Plata,AR,-38.0023,-57.5575,291.53,95,100,0.45,moderate rain
29,Sandovo,RU,58.4602,36.4128,260.87,97,96,3.74,overcast clouds
30,Necochea,AR,-38.5473,-58.7368,290.39,77,100,10.51,overcast clouds
31,Hithadhoo,MV,-0.6,73.0833,301.24,73,92,6.46,overcast clouds
32,Mahebourg,MU,-20.4081,57.7,299.96,89,75,9.26,light intensity shower rain
33,Udachnyy,RU,66.4167,112.4,237.91,100,80,1.48,broken clouds
34,Buala,SB,-8.145,159.5921,300.27,83,96,3.08,overcast clouds
35,Biltine,TD,14.5333,20.9167,295.19,14,53,7.73,broken clouds
36,Carnarvon,AU,-24.8667,113.6333,300.19,83,27,4.63,scattered clouds
37,Kieta,PG,-6.2167,155.6333,299.96,83,100,3.16,overcast clouds
38,Barrow,US,71.2906,-156.7887,248.16,70,75,5.66,broken clouds
39,Kaitangata,NZ,-46.2817,169.8464,280.53,88,43,2.84,scattered clouds
40,Hobart,AU,-42.8794,147.3294,287.07,79,40,2.06,scattered clouds
41,Tahara,JP,34.6667,137.2667,276.12,64,87,9.96,light snow
42,Avarua,CK,-21.2078,-159.775,300.18,78,20,5.66,few clouds
43,Atuona,PF,-9.8,-139.0333,299.14,75,16,10.36,few clouds
44,Bayangol,RU,50.6977,103.4656,250.42,97,93,1.72,overcast clouds
45,Dalvik,IS,65.9702,-18.5286,263.11,97,100,10.35,snow
46,Manaus,BR,-3.1019,-60.025,302.43,74,40,2.06,scattered clouds
47,Lasa,IT,46.6166,10.7002,276.85,68,9,2.19,clear sky
48,Nagato,JP,34.3833,131.2,277.1,60,78,10.63,broken clouds
49,Dikson,RU,73.5069,80.5464,245.35,100,98,1.63,overcast clouds
50,Khatanga,RU,71.9667,102.5,236.98,100,78,0.47,broken clouds
51,Vaini,TO,-21.2,-175.2,297.24,100,100,5.66,light rain
52,Isangel,VU,-19.55,169.2667,299.65,90,100,6.46,overcast clouds
53,Sarakhs,IR,36.5449,61.1577,283.23,62,100,2.06,overcast clouds
54,Thompson,CA,55.7435,-97.8558,245.24,69,75,1.54,broken clouds
55,Tiksi,RU,71.6872,128.8694,243.02,98,96,3.37,overcast clouds
56,Lebu,CL,-37.6167,-73.65,291.0,67,0,8.88,clear sky
57,Drugovo,MK,41.4842,20.9233,276.57,93,74,1.38,broken clouds
58,Rikitea,PF,-23.1203,-134.9692,299.06,73,47,5.51,scattered clouds
59,Hambantota,LK,6.1241,81.1185,298.34,94,5,3.09,clear sky
60,Codrington,AU,-38.2667,141.9667,286.83,90,99,3.58,overcast clouds
61,Dingle,PH,10.9995,122.6711,297.07,82,60,5.02,broken clouds
62,Touros,BR,-5.1989,-35.4608,304.65,55,20,5.89,few clouds
63,Harwich,GB,51.9419,1.2844,283.15,73,93,4.92,overcast clouds
64,Hilo,US,19.7297,-155.09,296.83,85,0,1.54,clear sky
65,Constitucion,CL,-35.3333,-72.4167,295.24,55,1,7.26,clear sky
66,Shelburne,CA,44.0787,-80.2041,264.4,66,28,2.45,scattered clouds
67,Key West,US,24.5557,-81.7826,302.15,69,0,4.63,clear sky
68,Cap Malheureux,MU,-19.9842,57.6142,300.08,81,100,4.02,overcast clouds
69,Fortuna,US,40.5982,-124.1573,285.89,81,0,0.89,clear sky
70,Qaanaaq,GL,77.484,-69.3632,256.32,75,90,1.83,overcast clouds
71,Neuquen,AR,-38.9516,-68.0591,297.09,38,40,1.03,scattered clouds
72,Saint-Georges,GD,12.0564,-61.7485,301.97,65,75,8.75,broken clouds
73,Sistranda,NO,63.7256,8.834,274.76,74,81,5.89,broken clouds
74,Saskylakh,RU,71.9167,114.0833,240.22,100,85,1.62,overcast clouds
75,Cherskiy,RU,68.75,161.3,236.92,96,17,0.78,few clouds
76,Ostrovnoy,RU,68.0531,39.5131,264.22,82,100,14.31,overcast clouds
77,Nanortalik,GL,60.1432,-45.2371,262.83,61,24,10.52,few clouds
78,Katsuura,JP,35.1333,140.3,274.21,44,31,2.3,scattered clouds
79,Gary,US,41.5934,-87.3464,267.09,63,0,5.14,clear sky
80,Ponta Do Sol,PT,32.6667,-17.1,294.89,41,3,4.99,clear sky
81,Kirensk,RU,57.7853,108.1119,264.91,93,100,4.59,light snow
82,Chuy,UY,-33.6971,-53.4616,299.8,55,98,2.27,overcast clouds
83,Puerto Ayora,EC,-0.7393,-90.3518,302.13,84,56,2.24,broken clouds
84,Upernavik,GL,72.7868,-56.1549,255.15,98,100,1.71,overcast clouds
85,Alugan,PH,12.2188,125.4808,299.93,69,95,7.18,overcast clouds
