City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kruisfontein,ZA,2022-02-02 15:53:52,-34.0033,24.7314,75.88,89,100,9.31
1,Butembo,CD,2022-02-02 15:55:14,0.15,29.2833,65.68,69,99,2.98
2,Albany,US,2022-02-02 15:51:53,42.6001,-73.9662,41.67,77,100,4.0
3,Bambous Virieux,MU,2022-02-02 15:55:15,-20.3428,57.7575,81.21,89,75,34.52
4,Rikitea,PF,2022-02-02 15:55:15,-23.1203,-134.9692,77.41,74,47,7.07
5,Bac,RS,2022-02-02 15:55:16,45.3919,19.2367,43.93,84,82,15.35
6,At-Bashi,KG,2022-02-02 15:55:16,41.1702,75.8106,8.87,89,100,0.43
7,Arraial Do Cabo,BR,2022-02-02 15:55:17,-22.9661,-42.0278,84.16,70,75,6.91
8,Coari,BR,2022-02-02 15:55:17,-4.085,-63.1414,82.96,80,86,5.01
9,Sitka,US,2022-02-02 15:52:12,57.0531,-135.33,33.69,86,100,4.61
10,Nanyuki,KE,2022-02-02 15:55:18,0.0167,37.0728,62.1,75,100,10.85
11,Norman Wells,CA,2022-02-02 15:53:00,65.282,-126.8329,-34.56,67,75,2.3
12,Puerto Ayora,EC,2022-02-02 15:55:18,-0.7393,-90.3518,80.56,89,49,7.0
13,Kodiak,US,2022-02-02 15:55:19,57.79,-152.4072,35.73,84,100,5.91
14,Mayo,US,2022-02-02 15:55:19,38.8876,-76.5119,41.13,86,75,11.01
15,Busselton,AU,2022-02-02 15:55:20,-33.65,115.3333,72.05,49,99,20.94
16,Kashi,CN,2022-02-02 15:55:20,39.4547,75.9797,29.41,34,100,4.47
17,Ushuaia,AR,2022-02-02 15:55:20,-54.8,-68.3,49.62,65,75,25.32
18,Korla,CN,2022-02-02 15:55:21,41.7597,86.1469,24.94,55,8,5.86
19,Barrow,US,2022-02-02 15:53:15,71.2906,-156.7887,-27.96,100,7,5.3
20,Lamak,PH,2022-02-02 15:55:22,10.3997,124.7389,76.32,86,100,6.35
21,Avera,US,2022-02-02 15:55:22,33.194,-82.5271,56.71,76,100,8.32
22,Ponta Do Sol,PT,2022-02-02 15:55:23,32.6667,-17.1,69.01,68,100,4.76
23,New Norfolk,AU,2022-02-02 15:55:23,-42.7826,147.0587,54.9,62,60,1.01
24,Kuzovatovo,RU,2022-02-02 15:55:24,53.5468,47.6866,31.19,98,100,10.09
25,Bonavista,CA,2022-02-02 15:55:26,48.6499,-53.1147,27.12,75,69,5.7
26,Bredasdorp,ZA,2022-02-02 15:51:50,-34.5322,20.0403,79.92,54,28,12.66
27,Bluff,NZ,2022-02-02 15:55:27,-46.6,168.3333,56.8,84,100,18.32
28,Saint George,US,2022-02-02 15:50:58,37.1041,-113.5841,35.8,36,0,4.0
29,Soyo,AO,2022-02-02 15:55:28,-6.1349,12.3689,84.25,69,27,11.61
30,Butaritari,KI,2022-02-02 15:55:28,3.0707,172.7902,80.91,82,91,17.36
31,Mocajuba,BR,2022-02-02 15:55:29,-2.5842,-49.5072,89.64,50,64,4.99
32,Laguna,US,2022-02-02 15:54:49,38.421,-121.4238,51.42,53,0,5.99
33,Okhotsk,RU,2022-02-02 15:55:29,59.3833,143.3,3.76,74,100,17.52
34,Jamestown,US,2022-02-02 15:53:12,42.097,-79.2353,40.71,34,100,13.8
35,Avarua,CK,2022-02-02 15:55:30,-21.2078,-159.775,77.05,94,40,10.36
36,Mataura,NZ,2022-02-02 15:52:29,-46.1927,168.8643,56.48,99,100,6.17
37,Ornskoldsvik,SE,2022-02-02 15:54:54,63.2909,18.7153,11.35,92,100,4.61
38,Benguela,AO,2022-02-02 15:55:32,-12.5763,13.4055,79.84,61,14,10.42
39,Ostrovnoy,RU,2022-02-02 15:55:33,68.0531,39.5131,20.3,87,100,15.01
40,Saskylakh,RU,2022-02-02 15:52:11,71.9167,114.0833,-28.7,100,35,2.75
41,Katsuura,JP,2022-02-02 15:55:34,35.1333,140.3,42.91,56,69,5.32
42,Qaanaaq,GL,2022-02-02 15:52:45,77.484,-69.3632,-23.78,66,31,8.57
43,Mehamn,NO,2022-02-02 15:55:34,71.0357,27.8492,17.51,79,97,8.52
44,Kachug,RU,2022-02-02 15:55:35,53.9606,105.8817,-12.82,100,94,1.28
45,Chama,CH,2022-02-02 15:55:35,47.1821,8.4636,48.06,84,100,11.5
46,Santa Catalina Norte,PH,2022-02-02 15:55:36,13.8708,121.3575,76.87,86,100,7.67
47,Rezekne,LV,2022-02-02 15:56:36,56.5,27.3167,25.81,88,100,4.12
48,Togur,RU,2022-02-02 15:56:37,58.3631,82.8265,8.51,98,98,5.64
49,Gat,IL,2022-02-02 15:56:38,31.61,34.7642,62.4,42,100,3.74
50,Los Llanos De Aridane,ES,2022-02-02 15:56:39,28.6585,-17.9182,65.95,64,0,2.3
51,Cajabamba,PE,2022-02-02 15:56:40,-7.6167,-78.05,66.13,50,34,6.8
52,Kirakira,SB,2022-02-02 15:54:42,-10.4544,161.9205,79.48,85,100,6.87
53,Emilio Carranza,MX,2022-02-02 15:56:40,19.9711,-96.6114,75.81,73,20,7.23
54,Mnogovershinnyy,RU,2022-02-02 15:56:41,53.9353,139.9242,-5.28,87,100,5.21
55,Nabire,ID,2022-02-02 15:56:42,-3.3667,135.4833,76.41,90,99,3.67
56,Henties Bay,NA,2022-02-02 15:56:42,-22.116,14.2845,74.86,74,13,9.71
57,Faanui,PF,2022-02-02 15:56:42,-16.4833,-151.75,81.03,74,22,19.19
58,Hermanus,ZA,2022-02-02 15:56:43,-34.4187,19.2345,72.81,73,16,23.29
59,Atuona,PF,2022-02-02 15:56:43,-9.8,-139.0333,78.03,79,73,17.63
60,Klaksvik,FO,2022-02-02 15:51:55,62.2266,-6.589,38.32,72,100,19.66
61,Boshnyakovo,RU,2022-02-02 15:56:43,49.6333,142.1667,1.76,94,100,7.87
62,Cape Town,ZA,2022-02-02 15:56:31,-33.9258,18.4232,71.1,89,100,1.01
63,Talnakh,RU,2022-02-02 15:56:44,69.4865,88.3972,-0.8,98,95,6.26
64,Quatre Cocos,MU,2022-02-02 15:56:44,-20.2078,57.7625,81.09,90,100,40.67
65,Minsk,BY,2022-02-02 15:55:42,53.9,27.5667,26.35,97,100,8.68
66,Lompoc,US,2022-02-02 15:52:34,34.6391,-120.4579,55.09,49,0,9.22
67,Egvekinot,RU,2022-02-02 15:56:45,66.3167,-179.1667,-7.44,80,13,19.24
68,Chuy,UY,2022-02-02 15:56:45,-33.6971,-53.4616,83.61,45,0,9.13
69,Aklavik,CA,2022-02-02 15:56:46,68.2191,-135.0107,-22.0,69,40,5.75
70,Baruun-Urt,MN,2022-02-02 15:56:46,46.6806,113.2792,-8.36,92,46,4.32
71,Port Lincoln,AU,2022-02-02 15:56:47,-34.7333,135.8667,63.21,66,84,11.05
72,Zhanaozen,KZ,2022-02-02 15:56:47,43.3,52.8,41.16,78,24,8.72
73,Chaozhou,CN,2022-02-02 15:56:47,23.6651,116.6379,57.06,93,100,1.63
74,Bairiki,KI,2022-02-02 15:56:48,1.3292,172.9752,75.2,94,100,6.91
75,Martorell,ES,2022-02-02 15:56:48,41.474,1.9306,70.14,59,0,5.01
76,Gwanda,ZW,2022-02-02 15:56:49,-20.9333,29.0,87.4,38,25,10.02
77,Dunmore Town,BS,2022-02-02 15:56:49,25.5,-76.65,72.75,60,20,17.94
78,Itarema,BR,2022-02-02 15:56:50,-2.9248,-39.9167,86.77,56,93,12.75
79,Ambon,ID,2022-02-02 15:56:50,-3.6954,128.1814,78.94,89,20,3.44
80,Punta Arenas,CL,2022-02-02 15:56:51,-53.15,-70.9167,48.31,87,75,8.05
81,Husavik,IS,2022-02-02 15:56:51,66.0449,-17.3389,22.91,87,100,7.74
82,Pisco,PE,2022-02-02 15:55:07,-13.7,-76.2167,77.02,68,0,8.05
83,Ta Khmau,KH,2022-02-02 15:56:52,11.4833,104.95,80.65,78,20,4.61
84,Ribeira Grande,PT,2022-02-02 15:56:54,38.5167,-28.7,63.0,67,40,14.97
85,Upernavik,GL,2022-02-02 15:56:54,72.7868,-56.1549,-6.66,66,100,6.76
86,Acajutla,SV,2022-02-02 15:56:56,13.5928,-89.8275,84.79,56,0,4.94
87,Kapaa,US,2022-02-02 15:53:33,22.0752,-159.319,70.12,75,75,3.44
88,Sirur,IN,2022-02-02 15:56:57,18.8333,74.3833,75.34,27,3,6.76
89,Yulara,AU,2022-02-02 15:56:57,-25.2406,130.9889,64.24,82,100,12.66
90,Lokoja,NG,2022-02-02 15:56:58,7.8024,6.743,99.19,10,2,3.6
91,Loandjili,CG,2022-02-02 15:56:59,-4.7561,11.8578,86.11,74,20,13.8
92,Margate,GB,2022-02-02 15:56:59,51.3813,1.3862,54.3,74,92,1.99
93,Tasiilaq,GL,2022-02-02 15:57:00,65.6145,-37.6368,11.03,79,100,7.96
94,Vaini,TO,2022-02-02 15:57:00,-21.2,-175.2,73.56,94,40,3.44
95,Rocha,UY,2022-02-02 15:58:01,-34.4833,-54.3333,86.11,33,1,7.43
96,Thompson,CA,2022-02-02 15:58:02,55.7435,-97.8558,-27.24,68,0,13.8
97,Lebu,CL,2022-02-02 15:58:02,-37.6167,-73.65,65.88,72,38,7.7
98,Seoul,KR,2022-02-02 15:56:52,37.5683,126.9778,27.84,74,20,1.14
99,Santiago Del Estero,AR,2022-02-02 15:58:03,-27.7951,-64.2615,101.07,17,9,15.19
100,Yerbogachen,RU,2022-02-02 15:58:03,61.2767,108.0108,-6.11,99,96,2.46
101,Ancud,CL,2022-02-02 15:58:04,-41.8697,-73.8203,73.22,75,100,5.3
102,Colares,PT,2022-02-02 15:58:04,38.7992,-9.4469,67.37,48,0,1.01
103,Bethel,US,2022-02-02 15:58:05,41.3712,-73.414,42.06,81,100,5.75
104,Hailar,CN,2022-02-02 15:58:05,49.2,119.7,-24.43,100,44,4.23
105,Sao Filipe,CV,2022-02-02 15:58:05,14.8961,-24.4956,75.07,69,0,15.9
106,Dikson,RU,2022-02-02 15:58:06,73.5069,80.5464,-6.09,98,98,12.59
107,Deputatskiy,RU,2022-02-02 15:58:06,69.3,139.9,-13.67,96,99,4.79
108,Alencon,FR,2022-02-02 15:56:47,48.4333,0.0833,54.88,77,59,5.21
109,Alofi,NU,2022-02-02 15:58:07,-19.0595,-169.9187,73.29,94,89,2.3
110,Miri,MY,2022-02-02 15:58:07,4.4148,114.0089,78.94,94,40,3.44
111,Geraldton,AU,2022-02-02 15:58:07,-28.7667,114.6,91.81,19,66,18.41
112,Sawakin,SD,2022-02-02 15:58:08,19.1059,37.3321,73.11,65,1,4.61
113,Port Elizabeth,ZA,2022-02-02 15:56:28,-33.918,25.5701,78.1,83,20,20.71
114,Nome,US,2022-02-02 15:56:30,64.5011,-165.4064,11.16,68,0,16.91
